doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
프랜차이즈_11_SaaS_플랫폼_3,0.8052598834037781,0.7104358673095703,0.0,0.0,0.9848263462384542,0.8167569935321808,0.6042525768280029,0.698057234287262,14,6,0.8161132889134544,0.8404295841852824
프랜차이즈_1_세탁뷰티서비스_1,0.8420727252960205,0.8541494607925415,0.0,0.0,0.8011528054873148,0.8560101240873337,0.8469642400741577,0.7424886226654053,15,6,0.8881347060203553,0.9039228161176046
프랜차이즈_2_소형꽃집_1,0.804827094078064,0.7483065128326416,0.0,0.0,0.9149734973907471,0.8377393558621407,0.9072941541671753,0.6555870473384857,13,6,0.8202614188194275,0.803722620010376
프랜차이즈_3_편의점_1,0.801474928855896,0.7704384326934814,0.0,0.0,0.7401814162731171,0.7842577338218689,0.7307523488998413,0.6077765703201294,15,6,0.8379515608151754,0.722672035296758
프랜차이즈_4_커피숍_1,0.7623478174209595,0.7967365980148315,0.0,0.0,0.9507208466529846,0.9240654185414314,0.7937833070755005,0.7488681077957153,15,6,0.9714905540148417,0.962136040131251
프랜차이즈_8_학원_2,0.8606510162353516,0.7990450859069824,0.0,0.0,0.9614959359169006,0.8659846261143684,0.6517754793167114,0.7010572999715805,16,4,0.9775924943387508,0.9393618255853653
프랜차이즈_9_분식점_2,0.7959849834442139,0.8560875654220581,0.0,0.0,0.9696718454360962,0.874179458618164,0.5823471546173096,0.6595268368721008,15,5,0.9547846794128418,0.9054502606391907
프랜차이즈_6_SaaS_2,0.8186624050140381,0.7538099884986877,0.0,0.0,0.925891387462616,0.8736587285995483,0.6182416677474976,0.5513076215982438,20,7,0.8414551258087158,0.8758618065289089
프랜차이즈_7_정비_2,0.8776935338973999,0.8550381660461426,0.0,0.0,0.9025548299153646,0.7861184895038604,0.7557533383369446,0.6475189805030823,20,5,0.7550933569669723,0.8642688870429993
프랜차이즈_10_분식점_변형_2,0.7552201747894287,0.8193551301956177,0.0,0.0,0.9201386868953705,0.8820806682109833,0.560835599899292,0.6262120485305787,14,7,0.9626726337841579,0.9146220769201007
프랜차이즈_12_SaaS플랫폼_변형_3,0.7504804134368896,0.6393299102783203,0.0,0.0,0.9027932286262512,0.9147894263267518,0.747532844543457,0.6789862632751464,12,7,0.978515644868215,0.9266852395875114
프랜차이즈_5_소형꽃집_변형_1,0.8430945873260498,0.7313703298568726,0.0,0.0,0.9302747249603271,0.7908370316028595,0.777275800704956,0.6752189517021179,7,7,0.7850738934108189,0.8141937000410897
