doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
2_2차 저작물 라이선스 계약서,0.6704933643341064,0.7508940100669861,0.0,0.0,0.8591081947088242,0.8593345681826273,0.7531738877296448,0.7858756383260092,15,14,0.8557981570561727,0.7809379696846008
2_공동 개발 계약서,0.6636340618133545,0.7109507322311401,0.0,0.0,0.8778659462928772,0.7845149536927541,0.8040488362312317,0.4998112618923187,16,16,0.7991662360727787,0.7592407613992691
2_독점 라이선스 계약서,0.6664829254150391,0.6467841863632202,0.0,0.0,0.9200189312299093,0.8475914200146993,0.7726975679397583,0.5555839836597443,15,13,0.8969042062759399,0.799529873407804
2_디지털 자산 라이선스 계약서,0.698011040687561,0.7033835649490356,0.0,0.0,0.9097514748573303,0.8491622706254324,0.6414973735809326,0.680231769879659,14,12,0.7849148724760328,0.7425535023212433
3_비독점 라이선스 계약서,0.6920857429504395,0.7179219722747803,0.0,0.0,0.9493557810783386,0.82887930671374,0.8931940793991089,0.5788645545641581,20,16,0.8301928371191025,0.7137065976858139
3_저작권 양도 계약서,,0.6913045644760132,,0.0,0.9678898851076762,0.8275499045848846,0.7374477386474609,0.7297062675158182,18,10,0.8910819126500024,0.7439687669277191
1_API_이용_및_데이터_라이선스_계약서,0.7584606409072876,0.648972749710083,0.0,0.0,0.9029908577601115,0.819980651140213,0.7603111267089844,0.4893745183944702,16,8,0.8776747398078442,0.869721531867981
1_SW_개발_용역_계약서,0.5766355991363525,0.6662482023239136,0.0,0.0,0.9231985807418823,0.8140503764152527,0.6993240118026733,0.6467333436012268,14,2,0.786392616374152,0.9136094450950623
1_SaaS_플랫폼_이용약관,0.8158965110778809,0.6235367059707642,0.0,0.0,0.9172670046488444,0.785413940747579,0.6422250270843506,0.7241796851158142,15,8,0.8407248894373576,0.8275251388549805
1_저작권_이용_허락_계약서,0.6573044061660767,0.8490243554115295,0.0,0.0,0.8714122573534647,0.8289841512838999,0.716153621673584,0.584496945142746,13,3,0.9933267465004554,0.9176862041155497
1_플랫폼_이용약관,0.8282298445701599,0.5885473489761353,0.0,0.0,0.9062146743138632,0.8347380260626475,0.863685667514801,0.6691532135009766,15,4,0.9137269457181295,0.8115052431821823
2_플랫폼 라이선스 및 서비스 계약서,0.6968003511428833,0.7082347869873047,0.0,0.0,0.9345618784427643,0.8388490776220957,0.7584728002548218,0.6484264334042867,15,13,0.858173672358195,0.7656470032838675
