doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
1_IP 소유권 및 라이선스 계약서,0.7293202877044678,0.644698441028595,0.0,0.0,0.8928279876708984,0.8174858589967092,0.8406528234481812,0.6127288142840067,15,14,0.8082532564798991,0.7635048244680677
1_리셀러 파트너 계약서,0.6132351160049438,0.6356428861618042,0.0,0.0,0.8777120113372803,0.8267429868380228,0.4952267110347748,0.5974441369374593,15,15,0.7913976987202962,0.7483602364857992
2_마스터 서비스 계약서,0.6684495210647583,0.5898820161819458,0.0,0.0,0.8880515456199646,0.8190407454967499,0.6421635150909424,0.5987979968388876,15,22,0.8067049304644267,0.7883741774342277
2_SaaS 구독 계약서,0.6622520089149475,0.6812912225723267,0.0,0.0,0.874003012975057,0.8022162020206451,0.6969383358955383,0.603797992070516,15,15,0.8070023655891418,0.7841015338897706
2_개인정보 처리 방침,0.6828280687332153,0.86322021484375,0.0,0.0,0.949385017156601,0.8553946018218994,0.856183648109436,0.7420090635617574,13,10,0.7859223347443801,0.7974080622196198
2_상호 비밀유지 게약서,0.5535870790481567,0.563269853591919,0.0,0.0,0.8664816737174987,0.7618086735407511,0.917350172996521,0.6605726877848307,14,14,0.8035092864717756,0.7756295715059552
3_MSA 기본 용역 계약서,,0.6626774072647095,,0.0,0.9331127047538758,0.8449042240778605,0.6797333359718323,0.6138405998547872,23,39,0.8437692212021869,0.7860607932775449
3_ToS 계약서,0.6032376885414124,0.5437275171279907,0.0,0.0,0.9836088418960571,0.8675621052583059,0.8525376915931702,0.6979710658391317,15,20,0.7916453878084818,0.7801752358675003
2_서비스 수준 약정서,0.6682082414627075,0.6650979518890381,0.0,0.0,0.9205411672592163,0.9020254214604696,0.8134765625,0.7284592390060425,17,16,0.8069216503816492,0.7776616960763931
1_최종 사용자 라이선스 계약서,0.552496075630188,0.5696739554405212,0.0,0.0,0.8398393392562866,0.8637221256891886,0.8662219047546387,0.7530685265858968,13,12,0.8618016380530137,0.7701274851957957
1_데이터 처리 계약서,0.6137725114822388,0.7098531723022461,0.0,0.0,0.9354302088419596,0.8255417048931122,0.7848511934280396,0.7420090635617574,12,13,0.9037810216347376,0.8472750599567707
1_데이터 처리 부록,0.7542189955711365,0.8418481349945068,0.0,0.047619047619047616,0.9529326558113098,0.8033251563707987,0.7173182964324951,0.6670287648836771,11,9,0.7048882787877863,0.7347465687327914
