doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
1_매체 광고 계약서,0.6311687231063843,0.6450763940811157,0.0,0.0,0.8614089488983154,0.7841677069664001,0.6216892600059509,0.6956992546717325,15,14,0.8171265999476115,0.7605765632220677
2_어필리에이트 계약서,0.8307916522026062,0.4821886122226715,0.0,0.0,0.8834559321403503,0.8058547874291738,0.824996829032898,0.5737751424312592,18,21,0.8038479189078013,0.76278669493539
2_브랜드 스폰서십 계약서,0.585607647895813,0.5107415914535522,0.0,0.0,0.8271976312001547,0.787202795346578,0.8334562182426453,0.763352632522583,15,15,0.8218469460805257,0.7725106795628865
2_콘텐츠 라이선스 계약서,0.6118541955947876,0.658247709274292,0.0,0.0,0.895543098449707,0.8015333513418833,0.8954448699951172,0.6202644209067026,18,18,0.7664922376473745,0.753478831715054
2_크리에이터 협업 계약서,0.5383092164993286,0.5893154144287109,0.0,0.0,0.8684301152825356,0.8049876987934113,0.4747996926307678,0.6653128862380981,18,17,0.8578144146336449,0.7873600581113029
2_성과형 광고 계약서,0.5828908681869507,0.5765374898910522,0.0,0.0,0.8363420963287354,0.7745735347270966,0.7532628178596497,0.7503050764401754,15,16,0.860751227537791,0.7498245649039745
1_공동 마케팅 계약서,0.7585393786430359,0.7164364457130432,0.0,0.0,0.8774032890796661,0.8239153822263082,0.7855348587036133,0.6413687864939371,13,13,0.8496361283155588,0.7989440147693341
1_공동 프로모션 계약서,0.676819920539856,0.7234159111976624,0.0,0.0,0.9337347944577535,0.7807550430297852,0.6630185842514038,0.6319173773129781,17,13,0.8038347643964431,0.7745187832758977
1_광고 대행 계약서,0.7074413895606995,0.7550081014633179,0.0,0.0,0.8965035875638326,0.8053330779075623,0.8796968460083008,0.6934624711672465,16,13,0.7760508880019188,0.7179034031354464
3_데이터 제휴 계약서,,0.4885411560535431,,0.0,0.8862146337827047,0.8215693732102712,0.6544671654701233,0.7192457914352417,15,35,0.8078853845596313,0.7975266303334917
1_제휴 서비스 계약서,0.4962279498577118,0.5617449879646301,0.0,0.0,0.907447338104248,0.7516132990519205,0.6842972040176392,0.5094934006532034,20,13,0.834448105096817,0.7376890044945937
3_스폰서 콘텐츠 계약서,,0.5765913724899292,,0.0,0.8188650608062744,0.8340155879656473,0.798747181892395,0.7192457914352417,22,32,0.9031777544455095,0.8333021979779005
