doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
1_개인정보처리방침_12_쇼핑몰_변형,0.7776621580123901,0.8086482286453247,0.0,0.0,0.7551831901073456,0.8099174002806345,0.585440456867218,0.6959436039129893,13,6,0.8447665113669175,0.8263525366783142
1_개인정보처리방침_4_openai,,0.7904273271560669,,0.0,0.918290376663208,0.7782215078671774,0.6727848052978516,0.5361791923642159,10,3,0.799006712436676,0.9193339745203654
1_개인정보처리방침_6_쇼핑몰,,0.7846666574478149,,0.0,0.8123841881752014,0.7298312187194824,0.5656869411468506,0.6220582808767047,10,2,0.9138562142848968,0.9184939861297607
1_개인정보처리방침_8_배달,0.8689315319061279,0.7153195142745972,0.0,0.0,0.7355971137682596,0.874892957508564,0.7888941764831543,0.7450538277626038,12,3,0.8860602776209513,0.8314857681592306
2_개인정보처리방침_10_병원,0.8829464912414551,0.8859322667121887,0.0,0.0,0.8123480876286825,0.8629447519779205,0.8019406795501709,0.5530945509672165,14,3,0.8913523852825165,0.8213310241699219
2_개인정보처리방침_1_네이버,0.8463564515113831,0.8856886625289917,0.0,0.0,0.7862222492694855,0.869200998544693,0.7411887645721436,0.6861349940299988,13,5,0.8676820626625648,0.8570185542106629
2_개인정보처리방침_5_SNS,,0.6411687135696411,,0.0,0.9290978312492371,0.8674421509106954,0.6078821420669556,0.6553541123867035,10,8,0.8717247724533081,0.8218894302845001
2_개인정보처리방침_7_은행,0.8531845808029175,0.8237799406051636,0.0,0.0,0.882402499516805,0.9042684137821198,0.8847681283950806,0.5491900742053986,15,3,0.8845122575759887,0.838655153910319
3_개인정보처리방침_3_통신사,0.8217761516571045,0.8530444502830505,0.0,0.0,0.9007591009140015,0.7411157886187235,0.8332440853118896,0.4824768404165904,19,4,0.8260236664822227,0.7537706047296524
1_개인정보처리방침_11_openai_변형,0.7785107493400574,0.6151517033576965,0.0,0.0,0.8759033977985382,0.8118520038468497,0.47203195095062256,0.5427486939089639,5,7,0.7480578660964966,0.9091762389455523
2_개인정보처리방침_2_네이버_변형,0.9034303426742554,0.8682452440261841,0.0,0.0,0.8859930336475372,0.8356935888528824,0.8867287635803223,0.6605042487382888,2,13,0.7495605945587158,0.8187839205448444
3_개인정보처리방침_구인구직_9,0.8522062301635742,0.8517650365829468,0.0,0.0,0.8863904987062726,0.833699032664299,0.48147210478782654,0.5980501919984818,4,3,0.8325380235910416,0.8676641583442688
