doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
임대차계약서_1_오피스텔_1,0.8774064779281616,0.6923408508300781,0.0,0.05,0.925651470820109,0.8724482506513596,0.6678341627120972,0.6989398151636124,15,5,0.8765156467755636,0.8999966025352478
임대차계약서_2_주거용원룸_1,0.8832685351371765,0.732689380645752,0.0,0.0,0.954151471455892,0.921991840004921,0.8580970764160156,0.7125610262155533,15,4,0.9729757944742838,0.9354501664638519
임대차계약서_3_호텔_1,0.6802576184272766,0.5864599943161011,0.0,0.05,0.8808727860450745,0.9283596202731133,0.6952488422393799,0.7440277487039566,15,5,0.9824581265449523,0.9464447855949402
임대차계약서_4_복합상업시설_1,0.9041831493377686,0.7967973947525024,0.0,0.0,0.9232895970344543,0.9123842567205429,0.8745705485343933,0.6761702597141266,15,5,0.9811175505320231,0.9555747270584106
임대차계약서_5_주거용원룸_변형_1,0.9188346266746521,0.7193387150764465,0.0,0.0,0.7876056432723999,0.8921031057834625,0.7687446475028992,0.7422916740179062,3,6,0.9946153362592062,0.9834397832552592
임대차계약서_6_복합상가_2,0.5663901567459106,0.5098484754562378,0.0,0.0,0.9420809030532837,0.8313263282179832,0.5479881763458252,0.7033651173114777,19,5,0.8523056350256267,0.7930614352226257
임대차계약서_7_복합상업시설_2,0.767361044883728,0.6288560032844543,0.0,0.0,0.9438634713490804,0.7829299196600914,0.8197658061981201,0.6951851397752762,15,5,0.8229262034098307,0.7989739894866943
임대차계약서_8_상가건물_2,0.8413637280464172,0.7432257533073425,0.0,0.0,0.9172914226849874,0.9278347864747047,0.6875446438789368,0.5744471400976181,15,4,0.9700122316678365,0.967031791806221
임대차계약서_9_복합상업시설_변형_2,0.8411954641342163,0.8194718360900879,0.0,0.0,0.8780035972595215,0.873232327401638,0.9053270220756531,0.7540621608495712,14,6,0.9428902566432953,0.9027120471000671
임대차계약서_10_상가건물_변형_2,0.771054744720459,0.7411795854568481,0.0,0.030303030303030304,0.847205400466919,0.9021319970488548,0.7080864310264587,0.5974463671445847,15,6,0.9646837711334229,0.9392015139261881
임대차계약서_11_대형복합상업시설_3,0.8557453155517578,0.7620547413825989,0.0,0.0,0.934506744146347,0.9203426018357277,0.715708315372467,0.745282918214798,8,5,0.9451640993356705,0.9182743668556214
임대차계약서_12_공공시설_3,0.8142729997634888,0.7689990997314453,0.0,0.0,0.9057545363903046,0.9069302529096603,0.727665901184082,0.7894826978445053,15,5,0.9670933643976848,0.8846478343009949
