doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
1_NDA_11_소프트웨어테스트_변형,0.8914672136306763,0.9018885493278503,0.0,0.0,0.9906262917952104,0.7754867970943451,0.9030511975288391,0.6090714683135351,16,9,0.7320180833339691,0.8147620624966092
1_NDA_2_소프트웨어테스트,0.8145291805267334,0.8952080011367798,0.0,0.0,0.7659396171569824,0.8820232037040922,0.5674865245819092,0.6101060708363851,15,8,0.7740841825803121,0.8184208869934082
1_NDA_4_프리랜서,0.8896995782852173,0.2912774085998535,0.0,0.5,0.9354123473167419,0.8879723325371742,0.6368104219436646,0.730022743344307,11,6,0.8747969594868746,0.889815479516983
1_NDA_5_프리랜서_변형,0.8455588817596436,0.8760174512863159,0.0,0.0,0.8130921125411987,0.8029967908348355,0.7188848257064819,0.5966038278170994,15,10,0.984209140141805,0.8224970579147339
2_NDA_10_근로자,0.7804250717163086,0.5771582126617432,0.0,0.0,0.9467754662036896,0.8553675626005445,0.8079816102981567,0.5394673347473145,15,6,0.8676945567131042,0.8694499135017395
2_NDA_6_공동개발,0.5929834842681885,0.6558977365493774,0.0,0.0,0.9382577737172445,0.766510508954525,0.5268168449401855,0.5838448852300644,12,5,0.7944590002298355,0.8178043603897095
2_NDA_7_투자검토,0.7301127910614014,0.7831364870071411,0.0,0.0,0.9767051935195923,0.8037052825093269,0.8150417804718018,0.47626007348299026,15,12,0.7809473713239033,0.7977511286735535
2_NDA_9_공동개발2,0.7576139569282532,0.8108559846878052,0.0,0.0,0.802673203604562,0.8801786154508591,0.4005567133426666,0.5968171060085297,15,5,0.7707456588745117,0.9137884616851807
3_NDA_3_임상시험,0.7381431460380554,0.7182713747024536,0.0,0.8,0.977368950843811,0.7234820851257869,0.773371696472168,0.4584985545703343,15,7,0.8305892785390218,0.6228869727679661
2_NDA_12_공동개발_변형,0.6684527397155762,0.6415244340896606,0.0,0.0,0.8792280356089274,0.7473874092102051,0.311259001493454,0.6185685656964779,5,8,0.7811155796051026,0.7259416617453098
1_NDA_1_제조공급,0.6614396572113037,0.5981271266937256,0.0,0.0,0.8700024088223776,0.78493646638734,0.6458405256271362,0.6433221272059849,10,3,0.7746014416217804,0.8113441467285156
3_NDA_8_인수합병,,0.6578707695007324,,0.0,0.8677407622337341,0.8078662902116776,0.8856105804443359,0.5895573596159617,20,9,0.8777669966220856,0.8060431943999397
