doc,summary_sim_ours,summary_sim_llm,halluc_ours,halluc_llm,qa_anchor_ours,qa_anchor_llm,qa_match_ours,qa_match_llm,risk_count_ours,risk_count_llm,risk_ori_ours,risk_ori_llm
1_위탁용역계약서_10_경비용역_변형,0.8237106800079346,0.8520844578742981,0.0,0.0,0.9050082564353943,0.8812522560358047,0.736510157585144,0.5958893209695816,15.0,7,0.9238325595855713,0.838851273059845
1_위탁용역계약서_12_위탁연구용역_변형,0.6900185346603394,0.7682934999465942,0.0,0.0,0.9322952628135681,0.8105118721723557,0.7438192963600159,0.6384144723415375,16.0,9,0.864970002323389,0.8288615809546577
1_위탁용역계약서_2_위탁연구용역,0.7460231184959412,0.8034847974777222,0.0,0.0,0.9432365298271179,0.8424668257886713,0.7409924268722534,0.6337304006923329,10.0,9,0.926216995716095,0.920581771267785
1_위탁용역계약서_4_경비용역,0.8640615940093994,0.7885891795158386,0.0,0.0,0.9452698230743408,0.8865507223776409,0.8007271885871887,0.6362088961260659,15.0,6,0.9183956384658813,0.9221306443214417
1_위탁용역계약서_6_개인정보처리,0.7253009080886841,0.8403556942939758,0.0,0.0,0.9536093473434448,0.8790892873491559,0.8186092376708984,0.6784835457801819,15.0,7,0.8566775560379029,0.8927329182624817
2_위탁용역계약서_3_시설관리용역계약서,0.9184398651123047,,0.0,,0.9259058460593224,0.7893939703702927,0.8481795787811279,0.6425510048866272,20.0,10,0.8765477627515793,0.8657954871654511
2_위탁용역계약서_5_일반사무,,-0.0482308603823185,,1.0,0.02647007256746292,0.03350688717328012,0.751946747303009,0.5820012062788009,,7,,0.043263988835471015
2_위탁용역계약서_8_프리랜서용역,0.8422439098358154,0.8129937648773193,0.0,0.0,0.9474494556585947,0.8585584759712219,0.8074064254760742,0.5626031160354614,13.0,2,0.9590596189865699,0.9286820888519287
3_위탁용역계약서_7_소프트웨어개발위탁,0.7110409736633301,0.772991955280304,0.0,0.0,0.9351285696029663,0.8508121030671256,0.9217778444290161,0.6612345789160047,15.0,6,0.8451753735542298,0.8299828072388967
1_위탁용역계약서_1_청소용역도급계약서,0.8637301325798035,0.8975387811660767,0.0,0.0,0.9291027188301086,0.8780897855758667,0.37985455989837646,0.584155136346817,7,5,0.8476124831608364,0.8431625485420227
2_위탁용역계약서_11_시설관리용역계약서_변형,0.8172415494918823,0.7776578068733215,0.0,0.05555555555555555,0.9379704594612122,0.8518944297518048,0.590994119644165,0.5507420897483826,17,11,0.836442207588869,0.8268413110212847
3_위탁용역계약서_9_외주용역,0.6250374913215637,0.8231287002563477,0.0,0.0,0.9756301244099935,0.8602037578821182,0.7011854648590088,0.5040615797042847,13,3,1.0000000091699452,0.7912338376045227
